Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226653203,2020.09.22 01:48:27,sell,0.07,gbpusd-e,1.28156,1.28983,1.26437,2020.09.22 20:23:37,1.27306,0,0,0,59.5
226656970,2020.09.22 07:35:39,buy,0.1,eurgbp-e,0.91805,0.91555,0.92305,2020.09.22 11:30:46,0.91554,0,0,0,-32.35
226671055,2020.09.22 01:48:27,sell,0.02,gbpusd-e,1.28156,1.28983,1.26437,2020.09.23 18:52:39,1.27465,0,0,0,17.28
226697016,2020.09.23 02:28:55,sell,0.1,usdchf-e,0.91978,0.92414,0.90654,2020.09.23 17:56:36,0.92414,0,0,0,-47.42
226715730,2020.09.23 23:36:45,buy,0.1,eurgbp-e,0.91688,0.91433,0.92263,2020.09.24 11:48:12,0.91432,0,0,0,-32.8
226752268,2020.09.24 17:17:51,buy,0.1,usdjpy-e,105.388,105.043,106.191,2020.09.29 18:37:47,105.634,0,0,0,23.17
226753560,2020.09.24 18:05:49,buy,0.1,usdmxn-e,22.47189,22.2562,23.05425,2020.09.24 18:53:33,22.25617,0,0,0,-97.39
226800015,2020.09.25 21:37:07,sell,0.01,eurgbp-e,0.91373,0.91419,0.91216,2020.09.25 22:59:00,0.91216,0,0,0,1.99
226828566,2020.09.28 03:15:28,sell,0.2,audusd-e,0.70404,0.70798,0.69178,2020.09.29 01:55:41,0.708,0,0,0,-79.2
226844159,2020.09.28 22:14:50,buy,0.2,eurgbp-e,0.90871,0.90726,0.91247,2020.09.29 02:50:58,0.90726,0,0,0,-37.5
226883937,2020.09.29 21:33:04,buy,0.2,eurusd-e,1.17448,1.16797,1.18973,2020.10.05 20:32:05,1.17823,0,0,0,75
226952390,2020.10.01 02:10:58,buy,20,xauusd-e,1887.64,1851.962,1962.036,2020.10.02 02:34:28,1904.77,0,0,0,34260
226991762,2020.10.02 02:50:30,sell,0.2,usdchf-e,0.91895,0.9222,0.91406,2020.10.05 20:31:59,0.91568,0,0,0,71.07
226992786,2020.10.02 04:21:53,sell,0.1,usdcad-e,1.32922,1.33498,1.31587,2020.10.05 20:31:54,1.32673,0,0,0,18.67
227031272,2020.10.05 00:32:46,buy,0.1,gbpusd-e,1.29378,1.28811,1.30323,2020.10.05 20:31:45,1.29869,0,0,0,49.1
227031320,2020.10.05 01:15:11,buy,15,xauusd-e,1901.71,1852.417,1921.965,2020.10.05 07:47:39,1891.751,0,0,0,-14938.5
227035334,2020.10.05 01:15:11,buy,5,xauusd-e,1901.71,1852.417,1921.965,2020.10.05 20:32:24,1913.919,0,0,0,6104.5
